X,Y,FID,Location_I,Site_Name,Address1,Address2,City,State,Zip,County,Start_Date,Latitude,Longitude,GlobalID
-8976890.5668,4233608.7225,106,CCB0027,Fieldcrest Cannon Ash Handling,Pump Station Road and Glenn Ave,-,Kannapolis,NC,28081,Rowan,1996/01/24 00:00:00,35.511483,-80.64078,{BB348D3C-BFF5-46EC-96C4-2D44746BBD05}
-8974941.4738,4232742.2689,107,CCB0028,Fieldcrest Cannon Plant #1,1 Lake Drive,-,Kannapolis,NC,0,Rowan,1994/02/15 00:00:00,35.505147,-80.623271,{2771CF41-81E7-4E92-9A94-EE0779FA9850}
-9011935.0557,4245713.8151,108,CCB0029,Jeten Property,7836 NC Hwy 150E,-,Terrell,NC,0,Catawba,2000/11/01 00:00:00,35.59995,-80.95559,{99A9A8B5-7273-43A6-AFC5-DFDD451F0EA6}
-9014475.8117,4246831.5832,109,CCB0030,Duke Marshall - Access Road,8320 NC Hwy 150 East,-,Terrell,NC,28682,Catawba,2013/03/14 00:00:00,35.608114,-80.978414,{66DA1975-3946-4888-B8D7-74C677908079}
-9014670.7322,4247691.6194,110,CCB0031,Duke Marshall - Solar PV System,8320 NC Hwy 150 East,-,Terrell,NC,28682,Catawba,2013/03/14 00:00:00,35.614395,-80.980165,{0557E1D4-0235-4223-B45F-A60D4185E779}
-8678378.4467,4153369.1192,111,CCB0032,Kilpatrick Farms I,S NC Highway 50,-,Magnolia,NC,0,Duplin,1994/02/01 00:00:00,34.92261,-77.9592,{FDDBE9E4-FA1D-462E-91CF-9D871A4D8CE0}
-8679439.3214,4154193.2598,112,CCB0033,Kilpatrick Farms II,S NC Highway 50,-,Magnolia,NC,0,Duplin,1995/04/19 00:00:00,34.92868,-77.96873,{134D96C0-0238-48CB-BE33-8DB3C73151CD}
-8679439.3214,4154193.2598,113,CCB0034,Kilpatrick Farms III,S NC Highway 50,-,Magnolia,NC,0,Duplin,1995/10/01 00:00:00,34.92868,-77.96873,{2DD20878-4222-4846-916C-87BBF9A1D603}
-8787952.0026,4300993.3071,114,CCB0035,Duke University West Campus,308 Research Drive,-,Durham,NC,27708,Durham,,36.002703,-78.943516,{9509038A-093D-4110-B104-F9252B2C0DF9}
-8660204.2039,4293353.2408,115,CCB0036,Imperial Tobacco-Rocky Mount,270 Gay Street,-,Rocky Mount,NC,27804,Edgecombe,2005/06/07 00:00:00,35.947161,-77.795938,{B1551C40-86A1-4D02-9533-C3353B0BFC94}
-8946074.994,4334073.0806,116,CCB0037,Tobaccoville Project,Doral Drive,-,Tobaccoville,NC,27050,Forsyth,2001/09/01 00:00:00,36.242736,-80.363959,{D43203DF-CAAE-4661-AEA1-F2A5589A57CD}
-9005188.4266,4246975.0776,117,CCB0038,Lake Norman Airport Prop. (Lot 1),Yeager Road,-,Mooresville,NC,28117,Iredell,1995/08/01 00:00:00,35.609162,-80.894984,{15563545-1FAA-460F-9BE5-EA1611F4B008}
-9005234.9582,4247003.1469,118,CCB0039,"Lake Norman Airport Property (Lot 2);",117 Yeager Road,-,Mooresville,NC,28117,Iredell,1995/04/19 00:00:00,35.609367,-80.895402,{446B9464-7E85-44FB-BF82-F15BF9F983AE}
-9005267.2408,4247044.3609,119,CCB0040,CarolinaEaglesAviation'sLakeNormanAirportProperty(Lot 3),123 Yeager Road,-,Mooresville,NC,28117,Iredell,1995/05/01 00:00:00,35.609668,-80.895692,{6097590E-7AAD-48E6-B8E4-06AD34A32A6C}
-9005396.2601,4247201.9615,120,CCB0041,Thomas S. Wilson Track 1 Lake Normal Airport,Yeager Road,-,Mooresville,NC,28117,Iredell,1995/08/23 00:00:00,35.610819,-80.896851,{B4B494AE-8A90-44B5-A697-D0E609CCD8D3}
-9005396.2601,4247201.9615,121,CCB0042,Thomas s. Wilson Track 2 Lake Norman Airport,Yeager Road,-,Mooresville,NC,28117,Iredell,1995/08/23 00:00:00,35.610819,-80.896851,{196C34FB-20DF-4A5E-841F-39018191903E}
