Responsible Company,Latitude,Longitude,State,Water Reached?,Total
NAVAL STATION,30.37717,-81.41025, FL,Yes,0
NAVAL STATION NORFOLK,36.95634301,-76.32684931, VA,Yes,0
NAVAL STATION OCEANA,36.80668486,-76.01844831, VA,Yes,0
NAVY,20.75138889,-158.0511111, HI,Yes,0
NAVY,27.658539,-97.5685095, TX,No,0
NAVY,36.83781129,-76.28904497, VA,Yes,0
NAVY FIRE DEPARTMENT,36.81521169,-76.02738839, VA,Yes,0
NAVY REGIONAL DISPATCH MID-ATLANTIC,36.84686,-76.28514, VA,Yes,0
NAVY REGIONAL DISPATCH MID-ATLANTIC,36.95722136,-76.3266644, VA,Yes,0
NAVY REGIONAL FIRE & RESCUE,36.83273,-76.29771, VA,Yes,0
NAVY STATION PEARL HARBOR,21.35272311,-157.9379572, HI,Yes,0
NAVY TECH CENTER,30.68648,-88.05297, AL,Yes,0
NAVY USS ANCHORAGE (LSD 6),32.71568,-117.16171, CA,Yes,0
NAVY USS SHREVEPORT,36.84686,-76.28514, VA,Yes,0
NELLIS AF BASE,38.06549,-117.23193, NV,Yes,0
NERO AND ASS. INC.,34.57701,-118.11424, CA,Yes,0
NEW HAMPSHIRE AIR NATIONAL GUARD,43.08904538,-70.80518325, NH,Yes,0
NEW HAVEN FIRE DEPARTMENT,41.30136907,-72.92146212, CT,Yes,0
NEW HAVEN FIRE DEPARTMENT,41.30348545,-72.90851864, CT,Yes,0
NIAGARA FALLS AIRP'T FIRE,43.17407,-79.04442, NY,Yes,0
NIAGARA MOHAWK POWER,43.458399,-76.5315045, NY,Yes,0
NIAGRA FALL AIR RESERVE STATION,43.11443039,-78.93528249, NY,No,0
NJ ARMY NATIONAL GUARD,40.0147978,-74.3162698, NJ,Yes,0
NJ ARMY NATIONAL GUARD,(blank),(blank), NJ,Yes,0
NORFOLK NAVAL BASE FIRE DEPT.,36.87787215,-76.29426647, VA,No,0
NORFOLK NAVAL BASE FIRE DEPT.,36.94076561,-76.2962515, VA,Yes,0
NORFOLK NAVAL BASE FIRE DEPT.,36.95274501,-76.3025139, VA,Yes,0
NORFOLK NAVAL BASE POLICE & FIRE DEPT.,(blank),(blank), VA,No,0
NORFOLK NAVAL SHIPYARD,36.81713794,-76.3023666, VA,Yes,0
NORFOLK NAVAL STATION,36.95071752,-76.31948109, VA,No,0
NORSHIPCO,36.83200323,-76.2895699, VA,Yes,0
NORSHIPCO,36.8558505,-76.30305525, VA,Yes,0
NORTH HIGHLINE FIRE DEPT,47.33310895,-122.2109274, WA,Yes,0
NORTHROP GRUMAN SHIP SYSTEMS,29.91931834,-90.19078117, LA,Yes,0
NORTHROP GRUMMAN CORP,28.097424,-80.650935, FL,Yes,0
NORTHROP-GRUMANN AVONDALE,29.91931834,-90.19078117, LA,Yes,0
NORTHUMP GRUMMAN,29.91931834,-90.19078117, LA,Yes,0
NORTHWEST AIRLINES,33.6252813,-84.42415031, GA,Yes,0
NRG,35.56454044,-115.60214, CA,No,0
OCEAN DUTCHESS,37.763105,-122.23864, CA,Yes,0
OCEAN PEACE,47.63299936,-122.3804942, WA,Yes,0
ODYSSEY SPECIALIZED LOGISTICS,41.591304,-87.0422175, IN,Yes,0
OIL TANKING HOUSTON CORP.,29.742255,-95.1290325, TX,Yes,0
OKLAHOMA AIR NAT'L GUARD,36.21877308,-95.87370911, OK,Yes,0
OMAHA FIRE DEPT,41.26068,-95.94026, NE,Yes,0
OMNISOURCE SW,35.1771376,-90.03856749, TN,Yes,0
PACC SHIP MANAGERS,29.29532,-94.80791, TX,Unknown,0
PACIFIC DRILLING SERVICES INC.,26.9325,-90.52, LA,Yes,0
