X,Y,OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE
-78.59819,34.915636,22935,2629,Beaver Dam Volunteer Fire Department of Cumberland County,1,11042 NC Hwy 210 S,Roseboro,NC,Cumberland,28382,34.92,-78.60
-78.655368,34.873808,22936,2629,Beaver Dam Volunteer Fire Department of Cumberland County,2,9236 Turnbull Rd.,Fayettville,NC,Cumberland,28312,34.87,-78.66
-81.84946437,36.295653,22937,9509,"Beaver Dam Volunteer Fire Department of Watauga County, Inc.",1,1928 Bethel Road,Sugar Grove,NC,Watauga,28679,36.30,-81.85
-80.36408542,34.9886758,22938,9003,"Beaver Lane Volunteer Rescue & Fire Department, Inc.",1,310 Olive Branch Road,Marshville,NC,Union,28103,34.99,-80.36
-82.5318,35.6418,22939,1103,"Beaverdam Volunteer Fire Department, Incorporated",1,450 Beaverdam Road,Asheville,NC,Buncombe,28804,35.64,-82.53
-80.0997,36.08608,22940,3401,"Beeson Cross Roads Fire and Rescue, Inc.",1,1105 Old Salem Road,Kernersville,NC,Forsyth,27284,36.09,-80.10
-80.0842105,36.22630484,22941,3402,"Belews Creek Volunteer Fire and Rescue Department, Inc.",1,7675 Belew's Creek Road,Belews Creek,NC,Forsyth,27009,36.23,-80.08
-77.981,35.4353,22942,9603,"Belfast Volunteer Fire Fighters, Inc.",1,3212 US 117 Hwy. N,Goldsboro,NC,Wayne,27530,35.44,-77.98
-77.23495364,34.8868824,22943,6703,"Belgrade Volunteer Fire Department, Inc.",1,7561 New Bern Hwy,Maysville,NC,Jones,28555,34.89,-77.23
-76.6238835,35.53975675,22944,703,Belhaven Fire & Rescue Department,1,245 Haslin Street,Belhaven,NC,Beaufort,27810,35.54,-76.62
-77.51299079,35.59115202,22945,7452,"Bell Arthur Fire Dept., Inc.",1,2634 Fire House Rd,Bellarthur,NC,Pitt,27811,35.59,-77.51
-84.0753,34.9987,22946,2009,"Bellview Volunteer Fire Department, Inc.",1,1390 Lance Road,Murphy,NC,Cherokee,28906,35.00,-84.08
-81.03507854,35.23589279,22947,3603,Belmont Fire Department,1,301 Keener Boulevard,Belmont,NC,Gaston,28012,35.24,-81.04
-81.02153045,35.18660877,22948,3603,Belmont Fire Department,2,2300 South Point Road,Belmont,NC,Gaston,28012,35.19,-81.02
-77.46657469,35.70872614,22949,7413,"Belvoir Volunteer Fire Department, Inc.",1,4189 NC 33 West,Greenville,NC,Pitt,27834,35.71,-77.47
-79.11080688,35.36283124,22950,4316,"Benhaven Emergency Services, Inc.",1,4023 NC Hwy 87,Sanford,NC,Harnett,27332,35.36,-79.11
-79.04808542,35.34183501,22951,4316,"Benhaven Emergency Services, Inc.",2,722 Barbecue Church Rd,Sanford,NC,Harnett,27332,35.34,-79.05
-79.5426892,35.56409018,22952,1901,"Bennett Fire Department, Inc.",1,55 East Raleigh St.,Bennett,NC,Chatham,27208,35.56,-79.54
-79.46631149,35.56572254,22953,1901,"Bennett Fire Department, Inc.",2,20191 HWY 902,Bear Creek,NC,Chatham,27207,35.57,-79.47
-78.5478295,35.37738628,22954,5103,Benson Fire Department,1,313 South Elm St.,Benson,NC,Johnston,27504,35.38,-78.55
-78.27964636,35.32021617,22955,5105,"Bentonville Volunteer Fire Department, Inc.",1,3167 Harper House Rd ,Four Oaks,NC,Johnston,27524,35.32,-78.28
-81.28561073,35.28582261,22956,3604,Bessemer City Volunteer Fire Department,1,119 West Washington Street,Bessemer City,NC,Gaston,28016,35.29,-81.29
-80.20250729,35.39848746,22957,8404,"Bethany Community Fire Department, Incorporated",1,118 Bethany Church Rd,Albemarle,NC,Stanly,28001,35.40,-80.20
-78.21318775,35.63176512,22958,5104,"Bethany Rural Fire Department of Johnston County, Inc.",1,8525 Old Beulah Rd,Kenly,NC,Johnston,27542,35.63,-78.21
-78.69530845,35.06287663,22959,2601,"Bethany Rural Fire Department, Inc.",1,2140 Wade-Stedman Rd,Stedman,NC,Cumberland,28391,35.06,-78.70
-76.4793,36.1117,22960,7201,"Bethel Community Fire Protection Association, Inc.",1,462 Snug Harbor Road,Hertford,NC,Perquimans,27944,36.11,-76.48
-77.3746705,35.80764127,22961,7421,Bethel Fire & Rescue Department,1,3826 James St,Bethel,NC,Pitt,27812,35.81,-77.37
-81.3090919,35.84356958,22962,201,"Bethlehem Community Fire & Rescue, Inc.",1,7373 NC Hwy 127,Taylorsville,NC,Alexander,28681,35.84,-81.31
-81.4118,35.216401,22963,2301,"Bethlehem Volunteer Fire Department, Inc.",1,1128 Bethlehem Road,Kings Mountain,NC,Cleveland,28086,35.22,-81.41
-77.77783947,34.92560324,22964,3102,"Beulaville Volunteer Fire Department, Inc.",1,205 N. Wilson St. ,Beulaville,NC,Duplin,28518,34.93,-77.78
-78.97851573,34.80237887,22965,7802,"Big Marsh Volunteer Fire Department of Robeson County, Inc.",1,456 S Fifth St.,Saint Pauls,NC,Robeson,28384,34.80,-78.98
-82.7993,35.8024,22966,5805,"Big Pine Volunteer Fire Department, Inc.",1,7909 Big Pine Road,Marshall,NC,Madison,28753,35.80,-82.80
-82.151019,35.448794,22967,8114,Bills Creek Community Volunteer Fire Dept. Inc.,1,1184 Bill Creek Rd,Lake Lure,NC,Rutherford,28746,35.45,-82.15
-82.1368,35.4823,22968,8114,Bills Creek Community Volunteer Fire Dept. Inc.,2,336 Cedar Creek Road,Lake Lure,NC,Rutherford,28746,35.48,-82.14
-79.7820751,35.36026876,22969,6203,Biscoe Fire Department,1,110 W. Main Street,Biscoe,NC,Montgomery,27209,35.36,-79.78
-77.936149,35.63775,22970,9801,"Black Creek Volunteer Fire Department, Inc.",1,114 N Church Street,Black Creek,NC,Wilson,27813,35.64,-77.94
-77.24776361,35.50025217,22971,7435,"Black Jack Volunteer Fire Department, Inc.",1,3020 Black Jack Grimesland Rd,Greenville,NC,Pitt,27858,35.50,-77.25
-82.3210579,35.61893548,22972,1105,"Black Mountain Fire Department, Incorporated",1,106 Montreat Road,Black Mountain,NC,Buncombe,28711,35.62,-82.32
-82.33586397,35.60465108,22973,1105,"Black Mountain Fire Department, Incorporated",2,19 White Pine Drive,Black Mountain,NC,Buncombe,28711,35.60,-82.34
-82.36905516,35.66846997,22974,1105,"Black Mountain Fire Department, Incorporated",3,49 Wedgewood Terrace,Black Mountain,NC,Buncombe,28711,35.67,-82.37
-78.43608239,35.3667594,22975,5106,"Blackman's Crossroads Volunteer Fire Department, Inc.",1,5813 NC 96 S,Four Oaks,NC,Johnston,27524,35.37,-78.44
-78.79114939,34.54122584,22976,901,Bladenboro Fire Department,1,519 West Seaboard Street,Bladenboro,NC,Bladen,28320,34.54,-78.79
